learner_id,learner_name,birthdate,sex,municipality,school,age
LRN-0025,Carlos Dela Cruz,2008-06-06,F,Cebu City,Cebu Central School,16
LRN-0026,Lisa Bautista,2015-10-24,F,Pasig,Mabini Academy,15
LRN-0027,Maria Dela Cruz,2010-01-22,M,Pasig,Mabini Academy,5
LRN-0028,Juan Garcia,2014-03-24,F,Makati,Mabini Academy,18
LRN-0029,Jose Mendoza,2008-03-14,F,Pasig,Rizal Elementary School,12
LRN-0030,juan bautista,20/10/2012,F,Makati,Mabini Academy,16
LRN-0031,Ana Reyes,2014-04-20,M,Pasig,Quezon Science High,6
LRN-0032,Lisa Wong,2005-08-20,M,Quezon City,Quezon Science High,16
LRN-0033,Antonio Villanueva,2010-12-18,M,Pasig,Rizal Elementary School,15
LRN-0034,Rosa Santos,2011-01-28,F,Taguig,Cebu Central School,14
LRN-0035,Maria Dela Cruz,2005-03-20,F,Pasig,Rizal Elementary School,15
LRN-0036,Juan Santos,2010-10-10,F,Pasig,Rizal Elementary School,17
LRN-0037,Rosa Mendoza,2015-04-25,F,Davao City,Cebu Central School,16
LRN-0038,Antonio Dela Cruz,2012-05-08,M,Manila,Rizal Elementary School,5
LRN-0039,Maria Lopez,2011-05-30,M,Manila,Bonifacio High School,5
LRN-0040,Maria Bautista,2005-11-29,M,Quezon City,Quezon Science High,18
LRN-0041,Maria Dela Cruz,2009-08-04,F,Quezon City,Davao National High,6
LRN-0042,Rosa Garcia,2005-06-20,M,Taguig,Cebu Central School,10
LRN-0043,Pedro Santos,2014-04-26,F,Makati,Quezon Science High,5
LRN-0044,Jose Garcia,2015-01-09,M,Makati,Bonifacio High School,10
LRN-0045,Juan Wong,2008-09-15,M,Pasig,Mabini Academy,9
LRN-0046,Maria Villanueva,2010-06-17,M,Manila,Cebu Central School,5
LRN-0047,Pedro Santos,2010-10-20,M,Taguig,Bonifacio High School,17
LRN-0048,Elena Bautista,2007-06-30,F,Davao City,Cebu Central School,7
LRN-0049,Antonio Bautista,2014-07-23,F,Pasig,Davao National High,17
LRN-0050,Rosa Dela Cruz,2011-01-27,M,Taguig,Cebu Central School,14
LRN-0051,Elena Santos,2009-12-23,M,Makati,Cebu Central School,13
LRN-0046,Maria Villanueva,2010-06-17,M,Manila,Cebu Central School,5
LRN-0021,Maria Lopez,2014-05-07,M,Makati,Rizal Elementary School,13
LRN-0054,Lisa Reyes,2006-09-05,F,Davao City,Bonifacio High School,11
LRN-0017,Jose Santos,2014-09-18,F,Davao City,Davao National High,16
LRN-0056,Elena Wong,2013-10-04,F,Quezon City,Rizal Elementary School,6
LRN-0057,Juan Garcia,2006-01-30,F,Davao City,Rizal Elementary School,7
LRN-0058,Antonio Villanueva,2009-01-13,F,Pasig,Mabini Academy,7
LRN-0059,Pedro Villanueva,2010-05-14,M,Cebu City,Davao National High,5
LRN-0060,Rosa Santos,2013-04-22,M,Cebu City,Rizal Elementary School,5
LRN-0061,antonio lopez,27/05/2012,M,Taguig,Cebu Central School,14
LRN-0062,Ana Garcia,2010-01-22,M,Quezon City,Bonifacio High School,11
LRN-0063,Elena Bautista,2015-07-01,F,Davao City,Rizal Elementary School,13
LRN-0064,Antonio Mendoza,2014-02-23,M,Makati,Quezon Science High,18
LRN-0065,Lisa Reyes,2010-01-12,F,Quezon City,Davao National High,5
LRN-0066,Ana Bautista,2014-09-28,M,Pasig,Davao National High,9
LRN-0067,Elena Bautista,2007-05-28,M,Davao City,Quezon Science High,10
LRN-0068,Ana Dela Cruz,2013-01-25,M,Davao City,Bonifacio High School,5
LRN-0069,Ana Bautista,2014-02-09,M,Taguig,Cebu Central School,15
LRN-0070,Ana Garcia,2006-10-08,F,Quezon City,Davao National High,11
LRN-0071,Juan Wong,2014-08-06,M,Davao City,Rizal Elementary School,15
LRN-0072,rosa mendoza,29/03/2006,Unknown,Cebu City,Mabini Academy,6
LRN-0073,Pedro Reyes,2015-08-25,M,Quezon City,Rizal Elementary School,10
LRN-0074,Elena Garcia,2006-04-28,M,Manila,Quezon Science High,12
LRN-0075,Elena Mendoza,2013-03-03,F,Quezon City,Cebu Central School,11
LRN-0076,Elena Santos,2006-10-10,F,Taguig,Rizal Elementary School,14
LRN-0077,Carlos Villanueva,2007-04-04,M,Taguig,Bonifacio High School,17
LRN-0078,Maria Villanueva,2007-11-07,M,Pasig,Bonifacio High School,11
LRN-0079,Carlos Aquino,2005-05-20,M,Cebu City,Quezon Science High,16
LRN-0080,Maria Reyes,2006-07-18,F,Quezon City,Mabini Academy,9
LRN-0081,Antonio Aquino,2006-01-26,M,Makati,Bonifacio High School,18
LRN-0082,Carlos Mendoza,2013-10-23,M,Pasig,Davao National High,13
LRN-0083,Lisa Reyes,2010-06-13,F,Cebu City,Mabini Academy,15
LRN-0084,Elena Santos,2012-08-15,M,Cebu City,Quezon Science High,6
LRN-0085,Carlos Bautista,2012-10-06,F,Davao City,Quezon Science High,12
LRN-0086,  maria reyes  ,Invalid Date,f,Nowhere,Bonifacio High School,8
LRN-0087,Antonio Villanueva,2009-10-28,F,Davao City,Rizal Elementary School,14
LRN-0088,Carlos Reyes,2007-12-05,M,Pasig,Bonifacio High School,6
LRN-0089,Carlos Lopez,2013-11-30,M,Cebu City,Davao National High,13
LRN-0090,Pedro Lopez,2013-06-29,M,Taguig,Davao National High,13
LRN-0091,Rosa Villanueva,2007-04-19,M,Quezon City,Rizal Elementary School,6
LRN-0092,Pedro Garcia,2010-01-17,F,Quezon City,Rizal Elementary School,18
LRN-0093,Elena Santos,2011-06-27,M,Pasig,Bonifacio High School,12
LRN-0094,Pedro Santos,2009-01-01,M,Davao City,Cebu Central School,12
LRN-0095,Rosa Wong,2012-02-03,M,Makati,Mabini Academy,11
LRN-0096,Carlos Garcia,2012-07-13,F,Manila,Bonifacio High School,7
LRN-0097,carlos wong,08/03/2007,f,Makati,Bonifacio High School,6
LRN-0098,Antonio Lopez,2007-07-17,F,Makati,Bonifacio High School,12
LRN-0099,Pedro Lopez,2008-05-19,M,Makati,Bonifacio High School,8
LRN-0100,Elena Aquino,2009-03-16,M,Makati,Quezon Science High,5
LRN-0101,Ana Santos,2007-12-11,M,Makati,Cebu Central School,17
LRN-0102,Rosa Villanueva,2012-09-29,F,Manila,Quezon Science High,16
LRN-0103,Rosa Aquino,2006-01-12,F,Makati,Mabini Academy,10
LRN-0104,Lisa Wong,2014-01-24,F,Manila,Cebu Central School,12
LRN-0105,Carlos Santos,2011-01-31,M,Taguig,Bonifacio High School,5
LRN-0106,Jose Aquino,2005-07-26,F,Davao City,Rizal Elementary School,15
LRN-0107,Lisa Garcia,2010-10-15,M,Davao City,Bonifacio High School,12
LRN-0108,Rosa Aquino,2006-01-02,F,Cebu City,Rizal Elementary School,18
LRN-0109,Maria Lopez,2010-08-19,F,Cebu City,Quezon Science High,7
LRN-0110,Rosa Villanueva,2011-06-27,F,Taguig,Quezon Science High,13
LRN-0111,lisa reyes,12/03/2005,f,Manila,Mabini Academy,15
LRN-0112,Antonio Lopez,2006-09-14,F,Quezon City,Mabini Academy,9
LRN-0113,Jose Aquino,2008-12-02,M,Makati,Cebu Central School,10
LRN-0114,Rosa Bautista,2011-01-02,F,Cebu City,Davao National High,6
LRN-0115,Lisa Villanueva,2008-06-27,M,Davao City,Mabini Academy,14
LRN-0116,Juan Reyes,2015-03-29,F,Pasig,Bonifacio High School,13
LRN-0117,Carlos Aquino,2015-06-11,F,Davao City,Rizal Elementary School,12
LRN-0118,Elena Santos,2010-09-04,M,Quezon City,Rizal Elementary School,7
LRN-0119,Ana Mendoza,2006-02-06,M,Makati,Quezon Science High,11
LRN-0120,Elena Aquino,2012-06-28,M,Manila,Cebu Central School,17
LRN-0121,Rosa Wong,2009-04-03,F,Pasig,Rizal Elementary School,5
LRN-0122,Maria Reyes,2008-08-16,M,Davao City,Mabini Academy,7
LRN-0123,Pedro Villanueva,2005-09-30,M,Manila,Mabini Academy,16
LRN-0124,Pedro Santos,2008-04-09,M,Taguig,Rizal Elementary School,13
LRN-0125,Elena Dela Cruz,2014-02-28,F,Cebu City,Rizal Elementary School,11
LRN-0126,Elena Villanueva,2006-02-16,M,Taguig,Bonifacio High School,11
LRN-0127,Maria Garcia,2012-09-15,M,Makati,Quezon Science High,10
LRN-0128,Carlos Villanueva,2012-05-17,F,Makati,Davao National High,6
LRN-0129,Juan Santos,2009-06-11,F,Cebu City,Quezon Science High,18
LRN-0130,Juan Mendoza,2013-07-27,F,Manila,Rizal Elementary School,13
LRN-0131,Antonio Villanueva,2006-12-08,M,Pasig,Davao National High,7
LRN-0132,Carlos Dela Cruz,2005-09-19,M,Taguig,Rizal Elementary School,7
LRN-0133,Elena Wong,2009-05-21,M,Makati,Rizal Elementary School,13
LRN-0134,Jose Wong,2013-08-08,F,Manila,Quezon Science High,16
LRN-0135,Ana Wong,2012-11-15,M,Cebu City,Rizal Elementary School,5
LRN-0136,Jose Bautista,2007-01-14,M,Quezon City,Bonifacio High School,8
LRN-0137,Pedro Mendoza,2010-06-03,F,Taguig,Bonifacio High School,15
LRN-0138,Carlos Aquino,2010-03-13,M,Quezon City,Cebu Central School,11
LRN-0139,Antonio Wong,2014-04-29,F,Makati,Rizal Elementary School,9
LRN-0140,Jose Santos,2010-01-02,M,Manila,Mabini Academy,5
LRN-0141,Elena Mendoza,2015-08-21,M,Taguig,Mabini Academy,13
LRN-0142,Carlos Wong,2014-01-06,M,Quezon City,Bonifacio High School,14
LRN-0143,Juan Bautista,2013-02-12,F,Cebu City,Rizal Elementary School,8
LRN-0144,Pedro Mendoza,2007-04-14,M,Makati,Rizal Elementary School,10
LRN-0111,lisa reyes,12/03/2005,f,Manila,Mabini Academy,15
LRN-0146,pedro mendoza,13/10/2008,Unknown,Davao City,Bonifacio High School,18
LRN-0147,Elena Santos,2008-08-22,F,Makati,Mabini Academy,8
LRN-0148,Juan Reyes,2009-07-23,M,Cebu City,Cebu Central School,15
LRN-0149,Elena Aquino,2007-06-08,M,Makati,Quezon Science High,14
LRN-0150,Juan Dela Cruz,2007-08-22,F,Manila,Davao National High,12
LRN-0151,Jose Bautista,2009-11-07,M,Cebu City,Rizal Elementary School,12
LRN-0152,Juan Mendoza,2010-02-17,M,Quezon City,Rizal Elementary School,12
LRN-0153,Lisa Bautista,2010-04-09,M,Quezon City,Mabini Academy,12
LRN-0154,ana garcia,18/04/2007,f,Manila,Mabini Academy,16
LRN-0155,Rosa Garcia,2012-02-26,F,Manila,Mabini Academy,7
LRN-0156,Jose Reyes,2011-06-18,F,Pasig,Bonifacio High School,16
LRN-0157,Elena Wong,2012-04-02,F,Davao City,Quezon Science High,15
LRN-0158,Juan Dela Cruz,2006-10-30,F,Taguig,Cebu Central School,6
LRN-0159,Maria Garcia,2013-06-21,F,Cebu City,Davao National High,10
LRN-0160,Antonio Garcia,2012-02-14,F,Pasig,Cebu Central School,14
LRN-0161,Maria Reyes,2013-06-05,F,Quezon City,Bonifacio High School,10
LRN-0162,Maria Garcia,2008-12-25,F,Davao City,Quezon Science High,13
LRN-0163,Rosa Aquino,2005-04-11,M,Makati,Bonifacio High School,12
LRN-0164,Jose Aquino,2010-01-26,F,Davao City,Quezon Science High,14
LRN-0157,Elena Wong,2012-04-02,F,Davao City,Quezon Science High,15
LRN-0166,Jose Garcia,2007-06-06,F,Pasig,Bonifacio High School,17
LRN-0167,Rosa Reyes,2010-04-06,M,Davao City,Rizal Elementary School,8
LRN-0168,Ana Lopez,2005-04-11,F,Pasig,Mabini Academy,7
LRN-0169,Juan Santos,2005-09-19,M,Makati,Davao National High,12
LRN-0170,lisa lopez,30/03/2009,X,Davao City,Mabini Academy,10
LRN-0171,Rosa Reyes,2013-06-30,M,Taguig,Davao National High,7
LRN-0069,Ana Bautista,2014-02-09,M,Taguig,Cebu Central School,15
LRN-0173,Elena Mendoza,2007-11-23,M,Taguig,Bonifacio High School,16
LRN-0174,Antonio Santos,2005-08-25,F,Davao City,Bonifacio High School,8
LRN-0175,Lisa Garcia,2008-05-31,M,Makati,Mabini Academy,14
LRN-0176,Lisa Dela Cruz,2007-06-29,F,Pasig,Quezon Science High,16
LRN-0177,Elena Reyes,2006-03-30,F,Makati,Quezon Science High,11
LRN-0178,Elena Santos,2007-12-02,M,Taguig,Bonifacio High School,8
LRN-0179,Elena Bautista,2007-02-03,F,Taguig,Rizal Elementary School,17
LRN-0180,Carlos Reyes,2010-10-26,F,Davao City,Bonifacio High School,5
LRN-0181,Carlos Garcia,2013-03-20,F,Taguig,Quezon Science High,8
LRN-0182,Lisa Garcia,2009-05-29,M,Quezon City,Cebu Central School,6
LRN-0183,Elena Bautista,2006-12-22,M,Davao City,Quezon Science High,5
LRN-0184,Jose Mendoza,2013-05-30,M,Makati,Bonifacio High School,15
LRN-0185,Ana Wong,2007-02-02,M,Makati,Mabini Academy,18
LRN-0186,Jose Reyes,2014-06-30,F,Cebu City,Cebu Central School,18
LRN-0187,Rosa Garcia,2010-01-02,M,Makati,Bonifacio High School,5
LRN-0188,Jose Wong,2010-05-10,F,Cebu City,Mabini Academy,14
LRN-0189,Rosa Reyes,2014-04-25,F,Taguig,Mabini Academy,13
LRN-0190,Juan Bautista,2006-03-26,M,Manila,Davao National High,18
LRN-0191,Ana Lopez,2015-12-01,F,Manila,Cebu Central School,5
LRN-0192,Carlos Dela Cruz,2014-02-11,M,Davao City,Quezon Science High,17
LRN-0193,Pedro Aquino,2014-01-31,M,Quezon City,Cebu Central School,9
LRN-0194,Rosa Villanueva,2008-01-03,M,Cebu City,Davao National High,9
LRN-0195,Pedro Villanueva,2014-06-06,F,Makati,Cebu Central School,16
LRN-0196,Lisa Mendoza,2007-09-26,M,Cebu City,Bonifacio High School,10
LRN-0197,maria villanueva,21/11/2011,F,Pasig,Rizal Elementary School,10
LRN-0198,Lisa Wong,2011-02-04,M,Manila,Bonifacio High School,7
LRN-0199,Carlos Wong,2012-01-31,M,Davao City,Davao National High,17
LRN-0200,Carlos Mendoza,2013-06-13,F,Pasig,Bonifacio High School,12
LRN-0201,Jose Garcia,2006-08-26,M,Manila,Bonifacio High School,17
LRN-0202,Pedro Villanueva,2015-08-21,M,Pasig,Cebu Central School,18
LRN-0203,Lisa Bautista,2008-05-17,M,Manila,Mabini Academy,11
LRN-0204,Maria Wong,2008-11-04,F,Cebu City,Bonifacio High School,10
LRN-0205,Juan Mendoza,2005-10-05,F,Quezon City,Cebu Central School,8
LRN-0206,pedro bautista,13/06/2007,X,Pasig,Cebu Central School,18
LRN-0207,Lisa Mendoza,2013-06-26,M,Davao City,Quezon Science High,11
LRN-0208,Jose Lopez,2009-01-25,M,Manila,Davao National High,5
LRN-0209,Elena Lopez,2006-09-02,F,Taguig,Cebu Central School,18
LRN-0210,Ana Mendoza,2008-04-14,M,Davao City,Mabini Academy,11
LRN-0211,Elena Aquino,2012-05-06,M,Taguig,Mabini Academy,9
LRN-0212,Jose Lopez,2013-02-03,M,Pasig,Cebu Central School,18
LRN-0072,rosa mendoza,29/03/2006,Unknown,Cebu City,Mabini Academy,6
LRN-0214,Lisa Bautista,2008-02-22,M,Taguig,Mabini Academy,14
LRN-0215,Elena Garcia,2013-03-10,M,Quezon City,Cebu Central School,18
LRN-0216,Jose Santos,2013-11-19,M,Quezon City,Mabini Academy,6
LRN-0217,Jose Aquino,2012-09-21,F,Cebu City,Quezon Science High,9
LRN-0218,Elena Dela Cruz,2011-09-09,F,Cebu City,Quezon Science High,11
LRN-0219,Rosa Aquino,2011-07-07,M,Cebu City,Rizal Elementary School,5
LRN-0220,Maria Wong,2013-09-10,F,Cebu City,Davao National High,8
LRN-0221,Pedro Santos,2006-06-29,F,Makati,Cebu Central School,16
LRN-0222,Carlos Reyes,2009-08-13,F,Cebu City,Rizal Elementary School,5
LRN-0083,Lisa Reyes,2010-06-13,F,Cebu City,Mabini Academy,15
LRN-0224,Jose Villanueva,2009-05-30,M,Quezon City,Bonifacio High School,13
LRN-0225,Elena Dela Cruz,2009-10-28,F,Taguig,Rizal Elementary School,18
LRN-0226,Juan Dela Cruz,2011-04-22,M,Manila,Mabini Academy,10
LRN-0227,Juan Santos,2015-10-16,F,Taguig,Rizal Elementary School,8
LRN-0228,Elena Mendoza,2006-02-13,F,Taguig,Mabini Academy,12
LRN-0229,Lisa Reyes,2011-08-16,F,Davao City,Cebu Central School,5
LRN-0230,Elena Mendoza,2007-04-17,M,Quezon City,Bonifacio High School,15
LRN-0231,Elena Aquino,2005-05-27,M,Cebu City,Rizal Elementary School,16
LRN-0006,Pedro Villanueva,2011-09-27,F,Davao City,Davao National High,13
LRN-0233,Lisa Reyes,2013-05-11,F,Manila,Bonifacio High School,18
LRN-0234,Ana Wong,2012-09-27,M,Makati,Cebu Central School,13
LRN-0235,  juan mendoza  ,Invalid Date,f,Nowhere,Bonifacio High School,17
LRN-0236,Elena Aquino,2011-09-08,F,Davao City,Quezon Science High,7
LRN-0237,Antonio Dela Cruz,2007-12-19,M,Makati,Cebu Central School,8
LRN-0238,Pedro Reyes,2008-05-14,F,Pasig,Davao National High,7
LRN-0239,Lisa Mendoza,2014-11-02,F,Taguig,Bonifacio High School,12
LRN-0240,Rosa Santos,2011-02-17,F,Makati,Davao National High,17
LRN-0241,Antonio Wong,2008-09-15,F,Cebu City,Bonifacio High School,13
LRN-0242,Antonio Villanueva,2014-05-08,M,Manila,Cebu Central School,9
LRN-0243,Rosa Lopez,2011-05-07,M,Quezon City,Davao National High,9
LRN-0244,Jose Mendoza,2005-10-14,M,Manila,Davao National High,8
LRN-0245,Lisa Aquino,2005-10-15,M,Cebu City,Mabini Academy,10
LRN-0246,Jose Garcia,2009-03-04,F,Davao City,Cebu Central School,16
LRN-0247,Juan Reyes,2012-09-29,M,Quezon City,Bonifacio High School,10
LRN-0248,Carlos Bautista,2013-08-20,F,Makati,Cebu Central School,7
LRN-0249,Antonio Santos,2013-05-21,M,Davao City,Quezon Science High,12
LRN-0250,Antonio Aquino,2006-07-17,F,Manila,Rizal Elementary School,13
LRN-0251,  ana aquino  ,Invalid Date,Unknown,Nowhere,Cebu Central School,11
LRN-0252,Pedro Villanueva,2014-06-13,M,Cebu City,Cebu Central School,18
LRN-0253,Jose Lopez,2008-09-23,M,Pasig,Rizal Elementary School,15
LRN-0254,  ana aquino  ,Invalid Date,Unknown,Nowhere,Bonifacio High School,5
LRN-0255,Elena Aquino,2005-10-29,F,Davao City,Rizal Elementary School,6
LRN-0256,Maria Bautista,2007-02-10,F,Quezon City,Davao National High,17
LRN-0147,Elena Santos,2008-08-22,F,Makati,Mabini Academy,8
LRN-0258,Maria Mendoza,2013-03-14,M,Manila,Cebu Central School,7
LRN-0259,Ana Santos,2006-09-06,M,Manila,Davao National High,9
LRN-0260,Antonio Villanueva,2011-11-20,M,Taguig,Cebu Central School,13
LRN-0261,Elena Bautista,2015-02-22,M,Cebu City,Rizal Elementary School,5
LRN-0262,Elena Wong,2006-01-02,M,Cebu City,Davao National High,12
LRN-0263,Elena Dela Cruz,2007-02-14,F,Davao City,Davao National High,18
LRN-0264,Carlos Aquino,2005-02-13,M,Cebu City,Bonifacio High School,10
LRN-0265,Jose Bautista,2015-12-19,F,Manila,Davao National High,11
LRN-0266,Pedro Aquino,2013-03-11,F,Makati,Quezon Science High,10
LRN-0267,Pedro Lopez,2009-07-04,F,Manila,Cebu Central School,10
LRN-0268,Juan Lopez,2005-04-26,F,Pasig,Cebu Central School,9
LRN-0269,Antonio Dela Cruz,2005-10-15,M,Pasig,Bonifacio High School,9
LRN-0270,Elena Wong,2009-06-24,F,Quezon City,Quezon Science High,13
LRN-0271,Antonio Reyes,2014-04-14,M,Cebu City,Bonifacio High School,13
LRN-0272,Rosa Bautista,2013-01-24,M,Quezon City,Quezon Science High,9
LRN-0273,Juan Dela Cruz,2008-04-09,M,Davao City,Rizal Elementary School,14
LRN-0274,Jose Garcia,2005-12-15,M,Cebu City,Bonifacio High School,12
LRN-0275,Juan Dela Cruz,2012-03-13,F,Pasig,Davao National High,15
LRN-0276,Lisa Bautista,2013-01-29,M,Makati,Davao National High,6
LRN-0277,Rosa Villanueva,2011-01-10,F,Makati,Bonifacio High School,10
LRN-0278,Lisa Garcia,2015-03-17,M,Pasig,Quezon Science High,14
LRN-0279,Lisa Aquino,2006-08-05,F,Taguig,Mabini Academy,9
LRN-0280,Antonio Reyes,2009-11-03,F,Manila,Cebu Central School,18
LRN-0281,Jose Santos,2008-06-04,M,Cebu City,Quezon Science High,5
LRN-0282,Pedro Reyes,2013-08-19,F,Quezon City,Mabini Academy,18
LRN-0283,Antonio Villanueva,2014-05-05,F,Davao City,Cebu Central School,10
LRN-0284,Lisa Aquino,2008-07-05,M,Manila,Mabini Academy,6
LRN-0285,juan garcia,08/09/2014,F,Davao City,Mabini Academy,8
LRN-0286,Maria Mendoza,2005-03-15,F,Pasig,Davao National High,10
LRN-0287,maria santos,28/11/2007,Unknown,Makati,Davao National High,15
LRN-0288,Maria Reyes,2010-02-18,F,Makati,Davao National High,10
LRN-0289,Maria Aquino,2005-02-08,F,Manila,Mabini Academy,6
LRN-0290,Maria Mendoza,2005-06-25,M,Makati,Davao National High,15
LRN-0291,Jose Bautista,2010-08-03,M,Manila,Davao National High,7
LRN-0292,Pedro Lopez,2014-09-29,F,Taguig,Quezon Science High,9
LRN-0293,Lisa Bautista,2006-04-03,F,Makati,Quezon Science High,14
LRN-0294,rosa aquino,06/05/2014,X,Taguig,Davao National High,8
LRN-0295,Juan Aquino,2006-09-28,M,Davao City,Cebu Central School,10
LRN-0296,Ana Mendoza,2006-02-19,F,Taguig,Davao National High,12
LRN-0297,elena aquino,29/11/2015,X,Pasig,Davao National High,17
LRN-0298,Pedro Santos,2013-06-19,F,Makati,Rizal Elementary School,15
LRN-0299,Juan Lopez,2009-06-06,M,Manila,Quezon Science High,11
LRN-0300,Rosa Lopez,2014-04-27,M,Quezon City,Bonifacio High School,10
LRN-0301,Elena Dela Cruz,2009-06-11,F,Pasig,Cebu Central School,17
LRN-0302,Ana Bautista,2013-07-04,M,Manila,Davao National High,13
LRN-0303,Antonio Santos,2006-07-08,F,Pasig,Rizal Elementary School,10
LRN-0304,Carlos Bautista,2005-08-10,M,Davao City,Rizal Elementary School,13
LRN-0305,Pedro Villanueva,2008-11-07,M,Makati,Davao National High,8
LRN-0306,Antonio Aquino,2012-06-09,M,Davao City,Cebu Central School,15
LRN-0307,Juan Santos,2012-06-20,M,Pasig,Cebu Central School,13
LRN-0308,Lisa Aquino,2015-07-25,M,Manila,Rizal Elementary School,9
LRN-0309,Ana Garcia,2013-08-24,M,Pasig,Rizal Elementary School,17
LRN-0310,Lisa Dela Cruz,2005-06-16,M,Quezon City,Quezon Science High,8
LRN-0311,Maria Garcia,2013-05-20,M,Cebu City,Cebu Central School,8
LRN-0312,Pedro Dela Cruz,2010-09-16,F,Manila,Bonifacio High School,16
LRN-0313,  juan reyes  ,Invalid Date,f,Nowhere,Cebu Central School,12
LRN-0314,Antonio Dela Cruz,2014-06-18,M,Quezon City,Cebu Central School,16
LRN-0315,Elena Garcia,2009-06-09,F,Taguig,Bonifacio High School,12
LRN-0316,Antonio Mendoza,2009-05-14,M,Davao City,Rizal Elementary School,6
LRN-0317,Elena Aquino,2009-09-07,M,Cebu City,Cebu Central School,16
LRN-0318,  antonio villanueva  ,Invalid Date,F,Nowhere,Bonifacio High School,6
LRN-0319,Maria Aquino,2010-01-11,M,Makati,Quezon Science High,15
LRN-0320,Jose Wong,2015-04-29,F,Cebu City,Cebu Central School,5
LRN-0321,Carlos Villanueva,2014-10-25,F,Manila,Bonifacio High School,16
LRN-0322,Ana Santos,2008-07-13,F,Quezon City,Davao National High,14
LRN-0323,Jose Dela Cruz,2015-05-28,M,Davao City,Rizal Elementary School,9
LRN-0324,Lisa Reyes,2011-02-18,F,Manila,Cebu Central School,6
LRN-0325,Elena Lopez,2015-10-07,F,Quezon City,Bonifacio High School,6
LRN-0326,Maria Garcia,2009-11-09,F,Cebu City,Mabini Academy,14
LRN-0327,Maria Aquino,2012-08-02,M,Manila,Davao National High,17
LRN-0328,Ana Wong,2014-09-11,M,Quezon City,Bonifacio High School,6
LRN-0329,Antonio Mendoza,2012-11-30,M,Davao City,Bonifacio High School,9
LRN-0330,Elena Mendoza,2013-05-20,M,Pasig,Bonifacio High School,9
LRN-0331,Ana Santos,2013-06-30,M,Davao City,Rizal Elementary School,11
LRN-0077,Carlos Villanueva,2007-04-04,M,Taguig,Bonifacio High School,17
LRN-0333,Jose Lopez,2015-05-21,M,Makati,Rizal Elementary School,14
LRN-0334,Ana Bautista,2008-10-15,F,Manila,Davao National High,10
LRN-0335,Maria Wong,2013-12-30,F,Pasig,Quezon Science High,6
LRN-0336,  rosa lopez  ,Invalid Date,m,Nowhere,Davao National High,18
LRN-0337,antonio reyes,06/12/2015,m,Makati,Davao National High,5
LRN-0338,Lisa Wong,2014-07-31,M,Cebu City,Bonifacio High School,8
LRN-0339,Elena Santos,2007-02-12,F,Taguig,Quezon Science High,16
LRN-0340,Juan Aquino,2005-09-20,M,Taguig,Davao National High,18
LRN-0341,lisa dela cruz,15/11/2007,Unknown,Quezon City,Rizal Elementary School,9
LRN-0342,Pedro Mendoza,2012-03-04,F,Manila,Mabini Academy,8
LRN-0343,Juan Villanueva,2009-10-15,M,Quezon City,Bonifacio High School,5
LRN-0344,Ana Garcia,2007-07-30,F,Taguig,Rizal Elementary School,11
LRN-0345,Antonio Wong,2007-11-17,F,Taguig,Rizal Elementary School,9
LRN-0346,Juan Villanueva,2006-04-27,M,Cebu City,Cebu Central School,14
LRN-0347,Lisa Villanueva,2009-11-04,M,Manila,Cebu Central School,14
LRN-0348,Maria Mendoza,2015-06-01,M,Pasig,Bonifacio High School,9
LRN-0349,Elena Lopez,2012-05-28,F,Taguig,Quezon Science High,17
